model,comparison,bf,se,ci.5%,ci.95%,M,prop_inside,prop_inside_se,distance,sub_n
similarity,bf_00',3.86E-04,3.13E-04,1.14E-04,0.00108163,70000000,2.86E-08,2.22E-08,14,3313
similarity,bf_0u,3.86E-04,3.13E-04,1.14E-04,0.001081704,70000000,2.86E-08,2.22E-08,14,3313
similarity,bf_00',3.88E-04,5.11E-04,6.91E-05,0.001620182,30000000,3.33E-08,4.11E-08,14,1082
similarity,bf_0u,3.88E-04,5.11E-04,6.91E-05,0.001620339,30000000,3.33E-08,4.11E-08,14,1082
similarity,bf_00',3.91E-04,4.86E-04,6.36E-05,0.001541627,40000000,2.50E-08,3.01E-08,14,2116
similarity,bf_0u,3.91E-04,4.86E-04,6.37E-05,0.001541716,40000000,2.50E-08,3.01E-08,14,2116
non-monotonic_attraction,bf_00',4.01E-04,1.46E-04,2.17E-04,6.93E-04,500000,1.60E-05,5.78E-06,5,1751
non-monotonic_attraction,bf_00',4.06E-04,1.48E-04,2.21E-04,6.95E-04,500000,1.60E-05,5.77E-06,2,556
similarity,bf_00',4.06E-04,5.07E-04,7.63E-05,0.001590347,30000000,3.33E-08,4.07E-08,5,1762
similarity,bf_0u,4.07E-04,5.07E-04,7.63E-05,0.001590452,30000000,3.33E-08,4.07E-08,5,1762
non-monotonic_attraction,bf_00',4.07E-04,1.47E-04,2.21E-04,6.99E-04,500000,1.60E-05,5.63E-06,5,2171
non-monotonic_attraction,bf_00',4.07E-04,1.51E-04,2.21E-04,7.04E-04,500000,1.60E-05,5.74E-06,2,1861
non-monotonic_attraction,bf_00',4.08E-04,1.49E-04,2.23E-04,7.05E-04,500000,1.60E-05,5.94E-06,14,2501
similarity,bf_00',4.08E-04,3.36E-04,1.16E-04,0.001158434,70000000,2.86E-08,2.30E-08,5,3372
similarity,bf_0u,4.08E-04,3.36E-04,1.16E-04,0.001158541,70000000,2.86E-08,2.30E-08,5,3372
non-monotonic_attraction,bf_00',4.10E-04,1.51E-04,2.20E-04,7.16E-04,500000,1.60E-05,5.75E-06,9,2692
non-monotonic_attraction,bf_00',4.13E-04,1.48E-04,2.26E-04,7.00E-04,500000,1.60E-05,6.03E-06,2,931
similarity,bf_00',4.17E-04,5.30E-04,7.37E-05,0.001657321,30000000,3.33E-08,4.07E-08,9,1711
similarity,bf_0u,4.17E-04,5.30E-04,7.37E-05,0.001657413,30000000,3.33E-08,4.07E-08,9,1711
non-monotonic_attraction,bf_0u,4.17E-04,1.52E-04,2.26E-04,7.21E-04,500000,1.60E-05,5.78E-06,5,1751
similarity,bf_00',4.20E-04,2.82E-04,1.49E-04,0.001029602,70000000,4.29E-08,2.74E-08,14,1746
similarity,bf_0u,4.20E-04,2.82E-04,1.50E-04,0.001029689,70000000,4.29E-08,2.74E-08,14,1746
non-monotonic_attraction,bf_0u,4.22E-04,1.54E-04,2.30E-04,7.22E-04,500000,1.60E-05,5.77E-06,2,556
non-monotonic_attraction,bf_0u,4.23E-04,1.53E-04,2.30E-04,7.27E-04,500000,1.60E-05,5.63E-06,5,2171
non-monotonic_attraction,bf_0u,4.23E-04,1.57E-04,2.30E-04,7.32E-04,500000,1.60E-05,5.74E-06,2,1861
non-monotonic_attraction,bf_0u,4.24E-04,1.55E-04,2.32E-04,7.32E-04,500000,1.60E-05,5.94E-06,14,2501
non-monotonic_attraction,bf_0u,4.26E-04,1.57E-04,2.29E-04,7.44E-04,500000,1.60E-05,5.75E-06,9,2692
non-monotonic_attraction,bf_0u,4.29E-04,1.54E-04,2.35E-04,7.27E-04,500000,1.60E-05,6.03E-06,2,931
similarity,bf_00',4.39E-04,5.63E-04,7.01E-05,0.001743053,30000000,3.33E-08,4.12E-08,9,82
similarity,bf_00',4.39E-04,5.54E-04,7.03E-05,0.001736747,30000000,3.33E-08,4.07E-08,9,212
similarity,bf_0u,4.39E-04,5.63E-04,7.02E-05,0.00174318,30000000,3.33E-08,4.12E-08,9,82
similarity,bf_0u,4.39E-04,5.54E-04,7.03E-05,0.001736849,30000000,3.33E-08,4.07E-08,9,212
non-monotonic_attraction,bf_00',4.55E-04,1.56E-04,2.53E-04,7.59E-04,500000,1.80E-05,6.12E-06,2,2712
non-monotonic_attraction,bf_00',4.57E-04,1.56E-04,2.56E-04,7.62E-04,500000,1.80E-05,6.21E-06,2,3626
similarity,bf_00',4.63E-04,5.69E-04,8.70E-05,0.001807558,30000000,3.33E-08,4.07E-08,9,2116
similarity,bf_00',4.63E-04,6.36E-04,8.04E-05,0.001962794,40000000,2.50E-08,3.02E-08,5,2831
similarity,bf_0u,4.63E-04,6.36E-04,8.04E-05,0.001962873,40000000,2.50E-08,3.02E-08,5,2831
similarity,bf_0u,4.63E-04,5.69E-04,8.70E-05,0.001807677,30000000,3.33E-08,4.07E-08,9,2116
non-monotonic_attraction,bf_00',4.63E-04,1.53E-04,2.60E-04,7.63E-04,500000,1.80E-05,6.31E-06,2,1512
non-monotonic_attraction,bf_0u,4.73E-04,1.62E-04,2.63E-04,7.89E-04,500000,1.80E-05,6.12E-06,2,2712
non-monotonic_attraction,bf_0u,4.75E-04,1.63E-04,2.67E-04,7.92E-04,500000,1.80E-05,6.21E-06,2,3626
non-monotonic_attraction,bf_0u,4.81E-04,1.59E-04,2.70E-04,7.92E-04,500000,1.80E-05,6.31E-06,2,1512
similarity,bf_00',5.05E-04,6.56E-04,9.08E-05,0.002050179,30000000,3.33E-08,4.03E-08,9,3321
similarity,bf_0u,5.05E-04,6.56E-04,9.08E-05,0.002050273,30000000,3.33E-08,4.03E-08,9,3321
non-monotonic_attraction,bf_00',5.07E-04,1.61E-04,3.01E-04,8.29E-04,500000,2.00E-05,6.40E-06,9,2642
non-monotonic_attraction,bf_00',5.08E-04,1.63E-04,2.91E-04,8.21E-04,500000,2.00E-05,6.31E-06,5,1093
non-monotonic_attraction,bf_00',5.09E-04,1.71E-04,2.84E-04,8.49E-04,500000,2.00E-05,6.41E-06,5,3661
similarity,bf_00',5.21E-04,6.82E-04,9.57E-05,0.002195083,30000000,3.33E-08,3.99E-08,14,22
similarity,bf_0u,5.21E-04,6.82E-04,9.57E-05,0.002195266,30000000,3.33E-08,3.99E-08,14,22
non-monotonic_attraction,bf_0u,5.27E-04,1.67E-04,3.12E-04,8.61E-04,500000,2.00E-05,6.40E-06,9,2642
non-monotonic_attraction,bf_0u,5.28E-04,1.69E-04,3.03E-04,8.53E-04,500000,2.00E-05,6.31E-06,5,1093
non-monotonic_attraction,bf_0u,5.29E-04,1.77E-04,2.95E-04,8.82E-04,500000,2.00E-05,6.41E-06,5,3661
similarity,bf_00',5.38E-04,7.40E-04,9.18E-05,0.002273976,30000000,3.33E-08,4.08E-08,9,481
similarity,bf_00',5.38E-04,7.13E-04,8.83E-05,0.002206322,30000000,3.33E-08,4.05E-08,14,3902
similarity,bf_0u,5.38E-04,7.40E-04,9.18E-05,0.002274079,30000000,3.33E-08,4.08E-08,9,481
similarity,bf_0u,5.38E-04,7.13E-04,8.83E-05,0.002206419,30000000,3.33E-08,4.05E-08,14,3902
non-monotonic_attraction,bf_00',5.58E-04,1.72E-04,3.41E-04,8.93E-04,500000,2.20E-05,6.88E-06,2,3082
non-monotonic_repulsion,bf_00',5.64E-04,1.77E-04,3.37E-04,9.07E-04,500000,2.20E-05,6.68E-06,2,2926
non-monotonic_attraction,bf_0u,5.80E-04,1.79E-04,3.54E-04,9.28E-04,500000,2.20E-05,6.88E-06,2,3082
non-monotonic_repulsion,bf_0u,5.86E-04,1.84E-04,3.50E-04,9.43E-04,500000,2.20E-05,6.68E-06,2,2926
similarity,bf_00',5.95E-04,7.92E-04,9.66E-05,0.002445674,20000000,5.00E-08,6.15E-08,5,1151
similarity,bf_0u,5.95E-04,7.92E-04,9.67E-05,0.00244588,20000000,5.00E-08,6.15E-08,5,1151
non-monotonic_attraction,bf_00',6.06E-04,1.80E-04,3.70E-04,9.54E-04,500000,2.40E-05,7.08E-06,5,1512
similarity,bf_00',6.06E-04,5.22E-04,1.71E-04,0.001823111,50000000,4.00E-08,3.11E-08,14,3183
similarity,bf_0u,6.06E-04,5.22E-04,1.72E-04,0.001823222,50000000,4.00E-08,3.11E-08,14,3183
non-monotonic_attraction,bf_00',6.07E-04,1.82E-04,3.71E-04,9.58E-04,500000,2.40E-05,6.96E-06,14,3602
similarity,bf_00',6.10E-04,7.78E-04,1.08E-04,0.002473254,20000000,5.00E-08,6.04E-08,9,2523
similarity,bf_00',6.10E-04,8.16E-04,1.02E-04,0.002510699,20000000,5.00E-08,6.08E-08,14,1313
similarity,bf_00',6.10E-04,8.07E-04,9.79E-05,0.002597607,20000000,5.00E-08,6.07E-08,14,3756
similarity,bf_0u,6.10E-04,7.78E-04,1.08E-04,0.002473415,20000000,5.00E-08,6.04E-08,9,2523
similarity,bf_0u,6.10E-04,8.16E-04,1.02E-04,0.002510916,20000000,5.00E-08,6.08E-08,14,1313
similarity,bf_0u,6.10E-04,8.07E-04,9.79E-05,0.002597787,20000000,5.00E-08,6.07E-08,14,3756
non-monotonic_attraction,bf_00',6.13E-04,1.78E-04,3.76E-04,9.56E-04,500000,2.40E-05,7.21E-06,2,642
non-monotonic_attraction,bf_00',6.17E-04,1.79E-04,3.78E-04,9.63E-04,500000,2.40E-05,7.04E-06,5,2183
non-monotonic_attraction,bf_00',6.19E-04,1.85E-04,3.72E-04,9.71E-04,500000,2.40E-05,6.94E-06,2,2693
similarity,bf_00',6.25E-04,8.10E-04,1.08E-04,0.002526604,20000000,5.00E-08,6.10E-08,2,31
similarity,bf_0u,6.25E-04,8.10E-04,1.08E-04,0.002526835,20000000,5.00E-08,6.10E-08,2,31
non-monotonic_attraction,bf_0u,6.30E-04,1.87E-04,3.85E-04,9.92E-04,500000,2.40E-05,7.08E-06,5,1512
non-monotonic_attraction,bf_0u,6.31E-04,1.89E-04,3.86E-04,9.96E-04,500000,2.40E-05,6.96E-06,14,3602
non-monotonic_attraction,bf_0u,6.37E-04,1.85E-04,3.91E-04,9.93E-04,500000,2.40E-05,7.21E-06,2,642
similarity,bf_00',6.38E-04,4.23E-04,2.29E-04,0.001548459,50000000,6.00E-08,3.78E-08,9,2933
similarity,bf_0u,6.38E-04,4.23E-04,2.29E-04,0.001548574,50000000,6.00E-08,3.78E-08,9,2933
similarity,bf_00',6.41E-04,5.27E-04,1.77E-04,0.001838266,40000000,5.00E-08,3.99E-08,5,3766
similarity,bf_00',6.41E-04,8.11E-04,1.21E-04,0.002642069,20000000,5.00E-08,6.12E-08,14,123
similarity,bf_00',6.41E-04,8.78E-04,1.22E-04,0.002630612,30000000,3.33E-08,4.04E-08,5,3591
similarity,bf_0u,6.41E-04,8.78E-04,1.22E-04,0.00263071,30000000,3.33E-08,4.04E-08,5,3591
similarity,bf_0u,6.41E-04,5.27E-04,1.77E-04,0.001838376,40000000,5.00E-08,3.99E-08,5,3766
similarity,bf_0u,6.41E-04,8.11E-04,1.21E-04,0.002642283,20000000,5.00E-08,6.12E-08,14,123
non-monotonic_attraction,bf_0u,6.41E-04,1.85E-04,3.93E-04,0.001000966,500000,2.40E-05,7.04E-06,5,2183
non-monotonic_attraction,bf_0u,6.43E-04,1.92E-04,3.87E-04,0.001008588,500000,2.40E-05,6.94E-06,2,2693
similarity,bf_00',6.58E-04,8.31E-04,1.16E-04,0.002581642,20000000,5.00E-08,6.11E-08,14,3073
similarity,bf_00',6.58E-04,8.34E-04,1.06E-04,0.002640738,20000000,5.00E-08,6.28E-08,14,3572
similarity,bf_0u,6.58E-04,8.31E-04,1.16E-04,0.002581856,20000000,5.00E-08,6.11E-08,14,3073
similarity,bf_0u,6.58E-04,8.34E-04,1.06E-04,0.002640902,20000000,5.00E-08,6.28E-08,14,3572
similarity,bf_00',6.67E-04,8.34E-04,1.43E-04,0.002643003,30000000,3.33E-08,3.99E-08,9,2816
similarity,bf_0u,6.67E-04,8.34E-04,1.43E-04,0.002643139,30000000,3.33E-08,3.99E-08,9,2816
non-monotonic_attraction,bf_00',6.67E-04,1.88E-04,4.07E-04,0.001022391,500000,2.60E-05,7.44E-06,9,182
repulsion,bf_00',6.70E-04,1.22E-04,4.93E-04,8.93E-04,500000,6.40E-05,1.13E-05,14,2411
similarity,bf_00',6.76E-04,8.69E-04,1.13E-04,0.002746838,20000000,5.00E-08,6.10E-08,9,826
similarity,bf_0u,6.76E-04,8.69E-04,1.13E-04,0.002747051,20000000,5.00E-08,6.10E-08,9,826
non-monotonic_attraction,bf_0u,6.93E-04,1.95E-04,4.23E-04,0.001061903,500000,2.60E-05,7.44E-06,9,182
similarity,bf_00',6.94E-04,9.41E-04,1.25E-04,0.002933712,20000000,5.00E-08,6.31E-08,9,1151
similarity,bf_0u,6.94E-04,9.41E-04,1.25E-04,0.00293393,20000000,5.00E-08,6.31E-08,9,1151
non-monotonic_attraction,bf_00',7.08E-04,1.92E-04,4.42E-04,0.001069618,500000,2.80E-05,7.60E-06,2,3153
non-monotonic_attraction,bf_00',7.14E-04,1.91E-04,4.51E-04,0.001065065,500000,2.80E-05,7.52E-06,2,3412
similarity,bf_00',7.14E-04,9.10E-04,1.20E-04,0.002826322,20000000,5.00E-08,6.02E-08,9,1172
similarity,bf_00',7.14E-04,9.13E-04,1.34E-04,0.00289037,20000000,5.00E-08,6.25E-08,9,1682
similarity,bf_0u,7.14E-04,9.10E-04,1.20E-04,0.002826494,20000000,5.00E-08,6.02E-08,9,1172
similarity,bf_0u,7.14E-04,9.13E-04,1.34E-04,0.002890594,20000000,5.00E-08,6.25E-08,9,1682
non-monotonic_attraction,bf_00',7.15E-04,1.94E-04,4.53E-04,0.001091499,500000,2.80E-05,7.50E-06,2,382
non-monotonic_attraction,bf_00',7.25E-04,2.00E-04,4.47E-04,0.001098092,500000,2.80E-05,7.51E-06,2,2763
repulsion,bf_0u,7.34E-04,1.34E-04,5.40E-04,9.78E-04,500000,6.40E-05,1.13E-05,14,2411
similarity,bf_00',7.35E-04,9.58E-04,1.28E-04,0.002978641,20000000,5.00E-08,6.12E-08,2,3766
similarity,bf_00',7.35E-04,9.56E-04,1.35E-04,0.003006363,20000000,5.00E-08,6.25E-08,5,3792
similarity,bf_0u,7.35E-04,9.58E-04,1.28E-04,0.002978807,20000000,5.00E-08,6.12E-08,2,3766
similarity,bf_0u,7.35E-04,9.56E-04,1.35E-04,0.00300651,20000000,5.00E-08,6.25E-08,5,3792
repulsion,bf_00',7.36E-04,1.25E-04,5.53E-04,9.64E-04,500000,7.00E-05,1.19E-05,2,1751
non-monotonic_attraction,bf_0u,7.36E-04,2.00E-04,4.59E-04,0.001112033,500000,2.80E-05,7.60E-06,2,3153
repulsion,bf_00',7.42E-04,1.28E-04,5.59E-04,9.80E-04,500000,7.00E-05,1.21E-05,2,1872
non-monotonic_attraction,bf_0u,7.42E-04,1.99E-04,4.69E-04,0.001106543,500000,2.80E-05,7.52E-06,2,3412
non-monotonic_attraction,bf_0u,7.43E-04,2.01E-04,4.71E-04,0.001133795,500000,2.80E-05,7.50E-06,2,382
non-monotonic_attraction,bf_0u,7.53E-04,2.08E-04,4.65E-04,0.001140456,500000,2.80E-05,7.51E-06,2,2763
similarity,bf_00',7.58E-04,9.82E-04,1.26E-04,0.003014978,20000000,5.00E-08,6.12E-08,5,1531
similarity,bf_00',7.58E-04,0.001046146,1.42E-04,0.003287529,30000000,3.33E-08,4.09E-08,9,401
similarity,bf_0u,7.58E-04,9.82E-04,1.26E-04,0.003015172,20000000,5.00E-08,6.12E-08,5,1531
similarity,bf_0u,7.58E-04,0.001046186,1.42E-04,0.003287657,30000000,3.33E-08,4.09E-08,9,401
non-monotonic_attraction,bf_00',7.60E-04,1.97E-04,4.90E-04,0.00113407,500000,3.00E-05,7.88E-06,9,3262
non-monotonic_attraction,bf_00',7.61E-04,2.01E-04,4.86E-04,0.001155811,500000,3.00E-05,7.93E-06,2,1023
non-monotonic_attraction,bf_00',7.63E-04,1.99E-04,4.94E-04,0.001132372,500000,3.00E-05,7.80E-06,9,1751
non-monotonic_attraction,bf_00',7.72E-04,2.01E-04,4.94E-04,0.001154806,500000,3.00E-05,7.72E-06,9,671
similarity,bf_00',7.81E-04,9.62E-04,1.45E-04,0.003123507,20000000,5.00E-08,6.27E-08,9,282
similarity,bf_00',7.81E-04,9.94E-04,1.49E-04,0.003196825,20000000,5.00E-08,6.23E-08,9,2036
similarity,bf_00',7.81E-04,0.001068845,1.37E-04,0.003191023,20000000,5.00E-08,6.19E-08,14,1351
similarity,bf_00',7.81E-04,9.85E-04,1.32E-04,0.003112063,20000000,5.00E-08,5.96E-08,14,2582
similarity,bf_0u,7.81E-04,9.62E-04,1.45E-04,0.003123662,20000000,5.00E-08,6.27E-08,9,282
similarity,bf_0u,7.81E-04,9.94E-04,1.49E-04,0.003197045,20000000,5.00E-08,6.23E-08,9,2036
similarity,bf_0u,7.81E-04,0.001068905,1.37E-04,0.003191203,20000000,5.00E-08,6.19E-08,14,1351
similarity,bf_0u,7.81E-04,9.85E-04,1.32E-04,0.003112223,20000000,5.00E-08,5.96E-08,14,2582
non-monotonic_attraction,bf_0u,7.90E-04,2.05E-04,5.09E-04,0.001178093,500000,3.00E-05,7.88E-06,9,3262
non-monotonic_attraction,bf_0u,7.91E-04,2.09E-04,5.05E-04,0.001201721,500000,3.00E-05,7.93E-06,2,1023
non-monotonic_attraction,bf_0u,7.93E-04,2.06E-04,5.13E-04,0.001176645,500000,3.00E-05,7.80E-06,9,1751
non-monotonic_attraction,bf_0u,8.01E-04,2.09E-04,5.13E-04,0.001200006,500000,3.00E-05,7.72E-06,9,671
repulsion,bf_0u,8.06E-04,1.37E-04,6.05E-04,0.001055912,500000,7.00E-05,1.19E-05,2,1751
repulsion,bf_0u,8.12E-04,1.40E-04,6.12E-04,0.001072957,500000,7.00E-05,1.21E-05,2,1872
non-monotonic_attraction,bf_00',8.14E-04,2.06E-04,5.36E-04,0.001214235,500000,3.20E-05,8.14E-06,5,1463
non-monotonic_attraction,bf_00',8.14E-04,2.12E-04,5.26E-04,0.001216386,500000,3.20E-05,8.21E-06,9,481
non-monotonic_attraction,bf_00',8.16E-04,2.08E-04,5.29E-04,0.00120346,500000,3.20E-05,8.08E-06,14,3862
similarity,bf_00',8.33E-04,7.06E-04,2.24E-04,0.00239587,30000000,6.67E-08,5.27E-08,9,136
similarity,bf_00',8.33E-04,6.67E-04,2.33E-04,0.002336953,30000000,6.67E-08,5.31E-08,14,2571
similarity,bf_00',8.33E-04,0.00113422,1.40E-04,0.003490897,20000000,5.00E-08,6.13E-08,9,2541
similarity,bf_00',8.33E-04,0.001081094,1.61E-04,0.003365777,20000000,5.00E-08,6.17E-08,9,3442
similarity,bf_00',8.33E-04,0.001146509,1.38E-04,0.003469371,20000000,5.00E-08,6.15E-08,14,2566
similarity,bf_0u,8.33E-04,7.06E-04,2.24E-04,0.002396001,30000000,6.67E-08,5.27E-08,9,136
similarity,bf_0u,8.33E-04,6.67E-04,2.33E-04,0.002337119,30000000,6.67E-08,5.31E-08,14,2571
similarity,bf_0u,8.33E-04,0.001134281,1.40E-04,0.003491065,20000000,5.00E-08,6.13E-08,9,2541
similarity,bf_0u,8.33E-04,0.001081152,1.61E-04,0.003365963,20000000,5.00E-08,6.17E-08,9,3442
similarity,bf_0u,8.33E-04,0.001146571,1.38E-04,0.003469631,20000000,5.00E-08,6.15E-08,14,2566
non-monotonic_attraction,bf_0u,8.46E-04,2.14E-04,5.57E-04,0.001261883,500000,3.20E-05,8.14E-06,5,1463
non-monotonic_attraction,bf_0u,8.46E-04,2.21E-04,5.46E-04,0.001264101,500000,3.20E-05,8.21E-06,9,481
non-monotonic_attraction,bf_0u,8.48E-04,2.16E-04,5.50E-04,0.001250774,500000,3.20E-05,8.08E-06,14,3862
non-monotonic_attraction,bf_00',8.60E-04,2.08E-04,5.70E-04,0.001253874,500000,3.40E-05,8.45E-06,5,931
non-monotonic_repulsion,bf_00',8.61E-04,2.10E-04,5.74E-04,0.001261614,500000,3.40E-05,8.44E-06,2,583
similarity,bf_00',8.62E-04,0.001126757,1.49E-04,0.003425658,20000000,5.00E-08,6.17E-08,5,1471
similarity,bf_00',8.62E-04,0.001081941,1.59E-04,0.003432019,20000000,5.00E-08,5.94E-08,9,3661
similarity,bf_00',8.62E-04,0.00114915,1.65E-04,0.003558058,20000000,5.00E-08,5.93E-08,14,3211
similarity,bf_0u,8.62E-04,0.001126816,1.49E-04,0.003425868,20000000,5.00E-08,6.17E-08,5,1471
similarity,bf_0u,8.62E-04,0.001081998,1.60E-04,0.003432201,20000000,5.00E-08,5.94E-08,9,3661
similarity,bf_0u,8.62E-04,0.00114921,1.65E-04,0.003558246,20000000,5.00E-08,5.93E-08,14,3211
non-monotonic_attraction,bf_00',8.64E-04,2.13E-04,5.71E-04,0.00127488,500000,3.40E-05,8.43E-06,14,3131
attraction,bf_00',8.80E-04,1.40E-04,6.70E-04,0.001128576,500000,8.40E-05,1.30E-05,2,31
non-monotonic_attraction,bf_0u,8.94E-04,2.16E-04,5.92E-04,0.001303267,500000,3.40E-05,8.45E-06,5,931
non-monotonic_repulsion,bf_0u,8.95E-04,2.18E-04,5.97E-04,0.001311779,500000,3.40E-05,8.44E-06,2,583
repulsion,bf_00',8.97E-04,1.37E-04,6.91E-04,0.001141379,500000,8.60E-05,1.30E-05,9,671
non-monotonic_attraction,bf_0u,8.98E-04,2.21E-04,5.93E-04,0.001325134,500000,3.40E-05,8.43E-06,14,3131
non-monotonic_attraction,bf_00',9.19E-04,2.24E-04,6.12E-04,0.001344914,500000,3.60E-05,8.62E-06,5,2313
similarity,bf_00',9.26E-04,0.001155835,1.55E-04,0.003753683,20000000,5.00E-08,6.05E-08,5,273
similarity,bf_00',9.26E-04,0.001231449,1.51E-04,0.003735603,20000000,5.00E-08,6.09E-08,9,2121
similarity,bf_0u,9.26E-04,0.001155893,1.55E-04,0.0037539,20000000,5.00E-08,6.05E-08,5,273
similarity,bf_0u,9.26E-04,0.001231508,1.51E-04,0.003735806,20000000,5.00E-08,6.09E-08,9,2121
non-monotonic_attraction,bf_00',9.49E-04,2.18E-04,6.44E-04,0.001348165,500000,3.80E-05,8.80E-06,9,623
non-monotonic_attraction,bf_00',9.54E-04,2.23E-04,6.42E-04,0.001368897,500000,3.80E-05,8.88E-06,2,671
non-monotonic_attraction,bf_0u,9.55E-04,2.32E-04,6.36E-04,0.001397185,500000,3.60E-05,8.62E-06,5,2313
repulsion,bf_00',9.56E-04,1.43E-04,7.40E-04,0.001217166,500000,9.20E-05,1.35E-05,14,791
similarity,bf_00',9.61E-04,0.001275405,1.64E-04,0.003973312,20000000,5.00E-08,6.20E-08,14,3003
similarity,bf_0u,9.62E-04,0.001275464,1.64E-04,0.003973496,20000000,5.00E-08,6.20E-08,14,3003
attraction,bf_0u,9.64E-04,1.53E-04,7.33E-04,0.001236432,500000,8.40E-05,1.30E-05,2,31
non-monotonic_attraction,bf_00',9.69E-04,2.28E-04,6.56E-04,0.00140466,500000,3.80E-05,8.90E-06,5,31
similarity,bf_00',9.80E-04,8.50E-04,2.70E-04,0.002858571,30000000,6.67E-08,5.31E-08,5,612
similarity,bf_0u,9.80E-04,8.50E-04,2.70E-04,0.002858744,30000000,6.67E-08,5.31E-08,5,612
repulsion,bf_0u,9.83E-04,1.50E-04,7.58E-04,0.001250381,500000,8.60E-05,1.30E-05,9,671
non-monotonic_attraction,bf_0u,9.87E-04,2.26E-04,6.70E-04,0.001402182,500000,3.80E-05,8.80E-06,9,623
non-monotonic_attraction,bf_0u,9.92E-04,2.32E-04,6.68E-04,0.001423426,500000,3.80E-05,8.88E-06,2,671
non-monotonic_attraction,bf_0u,0.00100737,2.37E-04,6.82E-04,0.001459659,500000,3.80E-05,8.90E-06,5,31
non-monotonic_attraction,bf_00',0.001015728,2.30E-04,6.94E-04,0.00143979,500000,4.00E-05,9.19E-06,9,2821
non-monotonic_attraction,bf_00',0.001017123,2.35E-04,6.85E-04,0.001448827,500000,4.00E-05,9.08E-06,9,532
repulsion,bf_0u,0.001048266,1.56E-04,8.11E-04,0.001334105,500000,9.20E-05,1.35E-05,14,791
non-monotonic_attraction,bf_0u,0.001055688,2.39E-04,7.21E-04,0.001496691,500000,4.00E-05,9.19E-06,9,2821
non-monotonic_attraction,bf_0u,0.001057082,2.44E-04,7.12E-04,0.001505273,500000,4.00E-05,9.08E-06,9,532
non-monotonic_attraction,bf_00',0.001069038,2.38E-04,7.25E-04,0.001508679,500000,4.20E-05,9.20E-06,14,2171
repulsion,bf_00',0.00110885,1.55E-04,8.80E-04,0.001390531,500000,1.06E-04,1.48E-05,9,2933
non-monotonic_attraction,bf_0u,0.001110994,2.48E-04,7.54E-04,0.001568593,500000,4.20E-05,9.20E-06,14,2171
similarity,bf_00',0.001111011,0.001422465,2.03E-04,0.004633071,10000000,1.00E-07,1.20E-07,5,631
similarity,bf_00',0.001111011,0.001420887,1.84E-04,0.004480906,10000000,1.00E-07,1.24E-07,9,261
similarity,bf_0u,0.001111111,0.001422585,2.03E-04,0.004633513,10000000,1.00E-07,1.20E-07,5,631
similarity,bf_0u,0.001111111,0.001421006,1.84E-04,0.004481196,10000000,1.00E-07,1.24E-07,9,261
non-monotonic_attraction,bf_00',0.001167006,2.43E-04,8.17E-04,0.001609464,500000,4.60E-05,9.67E-06,9,2933
non-monotonic_attraction,bf_00',0.00117824,2.49E-04,8.42E-04,0.001649955,500000,4.60E-05,9.74E-06,5,2471
non-monotonic_attraction,bf_0u,0.001212952,2.53E-04,8.49E-04,0.001673176,500000,4.60E-05,9.67E-06,9,2933
repulsion,bf_0u,0.001214733,1.69E-04,9.64E-04,0.001523324,500000,1.06E-04,1.48E-05,9,2933
similarity,bf_00',0.001219412,0.001544106,2.27E-04,0.004880241,10000000,1.00E-07,1.23E-07,5,952
similarity,bf_0u,0.001219512,0.001544223,2.27E-04,0.004880643,10000000,1.00E-07,1.23E-07,5,952
non-monotonic_attraction,bf_00',0.001223582,2.53E-04,8.68E-04,0.001701521,500000,4.80E-05,9.76E-06,5,491
non-monotonic_attraction,bf_0u,0.001224186,2.58E-04,8.75E-04,0.001713882,500000,4.60E-05,9.74E-06,5,2471
non-monotonic_attraction,bf_00',0.001236718,2.52E-04,8.73E-04,0.001704336,500000,4.80E-05,9.81E-06,9,1872
similarity,bf_00',0.0012499,0.001623101,2.27E-04,0.00503356,10000000,1.00E-07,1.23E-07,14,931
similarity,bf_0u,0.00125,0.001623223,2.27E-04,0.005034053,10000000,1.00E-07,1.23E-07,14,931
attraction,bf_00',0.001251673,1.66E-04,0.001006183,0.001554172,500000,1.20E-04,1.57E-05,2,583
non-monotonic_attraction,bf_0u,0.001271523,2.63E-04,9.01E-04,0.001768126,500000,4.80E-05,9.76E-06,5,491
non-monotonic_attraction,bf_00',0.001271696,2.60E-04,9.12E-04,0.001757272,500000,5.00E-05,1.01E-05,9,363
non-monotonic_attraction,bf_00',0.001275129,2.57E-04,9.07E-04,0.001760392,500000,5.00E-05,9.84E-06,2,1123
similarity,bf_00',0.001281951,0.001054273,3.68E-04,0.003690354,20000000,1.00E-07,8.07E-08,9,2972
similarity,bf_00',0.001281951,0.001635612,2.25E-04,0.00518753,10000000,1.00E-07,1.19E-07,14,746
similarity,bf_0u,0.001282051,0.001054349,3.68E-04,0.003690559,20000000,1.00E-07,8.07E-08,9,2972
similarity,bf_0u,0.001282051,0.001635729,2.25E-04,0.005187849,10000000,1.00E-07,1.19E-07,14,746
non-monotonic_attraction,bf_0u,0.001284659,2.61E-04,9.07E-04,0.001769645,500000,4.80E-05,9.81E-06,9,1872
repulsion,bf_00',0.00130724,1.66E-04,0.001058758,0.001592461,500000,1.24E-04,1.58E-05,9,2471
